cep,localidade,id_municipio,nome_municipio,sigla_uf
04625001,Campo Belo,3550308,São Paulo,SP
04605010,Campo Belo,3550308,São Paulo,SP
04710000,Santo Amaro,3550308,São Paulo,SP
04618020,Campo Belo,3550308,São Paulo,SP
04747140,Santo Amaro,3550308,São Paulo,SP
04610110,Campo Belo,3550308,São Paulo,SP
04662080,Santo Amaro,3550308,São Paulo,SP
04729040,Santo Amaro,3550308,São Paulo,SP
04709011,Santo Amaro,3550308,São Paulo,SP
04729050,Santo Amaro,3550308,São Paulo,SP
04746100,Santo Amaro,3550308,São Paulo,SP
01107060,Campo Belo,3550308,São Paulo,SP
04617002,Campo Belo,3550308,São Paulo,SP
04555001,Campo Belo,3550308,São Paulo,SP
04618002,Campo Belo,3550308,São Paulo,SP
04751020,Santo Amaro,3550308,São Paulo,SP
04608010,Campo Belo,3550308,São Paulo,SP
04624120,Campo Belo,3550308,São Paulo,SP
04736040,Santo Amaro,3550308,São Paulo,SP
04753040,Santo Amaro,3550308,São Paulo,SP
04618003,Campo Belo,3550308,São Paulo,SP
04602060,Campo Belo,3550308,São Paulo,SP
04617005,Campo Belo,3550308,São Paulo,SP
04616030,Campo Belo,3550308,São Paulo,SP
04710020,Santo Amaro,3550308,São Paulo,SP
04738030,Santo Amaro,3550308,São Paulo,SP
04555000,Campo Belo,3550308,São Paulo,SP
04713020,Santo Amaro,3550308,São Paulo,SP
04624080,Campo Belo,3550308,São Paulo,SP
04619060,Campo Belo,3550308,São Paulo,SP
04748020,Santo Amaro,3550308,São Paulo,SP
04621004,Campo Belo,3550308,São Paulo,SP
04617020,Campo Belo,3550308,São Paulo,SP
04713000,Santo Amaro,3550308,São Paulo,SP
04627003,Campo Belo,3550308,São Paulo,SP
04625050,Campo Belo,3550308,São Paulo,SP
04613003,Campo Belo,3550308,São Paulo,SP
04613001,Campo Belo,3550308,São Paulo,SP
04623000,Campo Belo,3550308,São Paulo,SP
04612020,Campo Belo,3550308,São Paulo,SP
04744020,Santo Amaro,3550308,São Paulo,SP
04728000,Santo Amaro,3550308,São Paulo,SP
04610100,Campo Belo,3550308,São Paulo,SP
04739001,Santo Amaro,3550308,São Paulo,SP
04610000,Campo Belo,3550308,São Paulo,SP
04748050,Santo Amaro,3550308,São Paulo,SP
04744001,Santo Amaro,3550308,São Paulo,SP
04619032,Campo Belo,3550308,São Paulo,SP
04610001,Campo Belo,3550308,São Paulo,SP
04610060,Campo Belo,3550308,São Paulo,SP
04743020,Santo Amaro,3550308,São Paulo,SP
04602020,Campo Belo,3550308,São Paulo,SP
04622011,Campo Belo,3550308,São Paulo,SP
04606002,Campo Belo,3550308,São Paulo,SP
04603003,Campo Belo,3550308,São Paulo,SP
04619001,Campo Belo,3550308,São Paulo,SP
04618031,Campo Belo,3550308,São Paulo,SP
04618033,Campo Belo,3550308,São Paulo,SP
04744010,Santo Amaro,3550308,São Paulo,SP
04355050,Campo Belo,3550308,São Paulo,SP
04709080,Santo Amaro,3550308,São Paulo,SP
04604007,Campo Belo,3550308,São Paulo,SP
04623071,Campo Belo,3550308,São Paulo,SP
04616003,Campo Belo,3550308,São Paulo,SP
04614010,Campo Belo,3550308,São Paulo,SP
04642070,Santo Amaro,3550308,São Paulo,SP
04622030,Campo Belo,3550308,São Paulo,SP
04607003,Campo Belo,3550308,São Paulo,SP
04743060,Santo Amaro,3550308,São Paulo,SP
04748000,Santo Amaro,3550308,São Paulo,SP
04612010,Campo Belo,3550308,São Paulo,SP
04637050,Campo Belo,3550308,São Paulo,SP
04072000,Campo Belo,3550308,São Paulo,SP
04615005,Campo Belo,3550308,São Paulo,SP
04606004,Campo Belo,3550308,São Paulo,SP
04625060,Campo Belo,3550308,São Paulo,SP
04747010,Santo Amaro,3550308,São Paulo,SP
04618034,Campo Belo,3550308,São Paulo,SP
04616002,Campo Belo,3550308,São Paulo,SP
04615060,Campo Belo,3550308,São Paulo,SP
04576010,Campo Belo,3550308,São Paulo,SP
04752080,Santo Amaro,3550308,São Paulo,SP
04741001,Santo Amaro,3550308,São Paulo,SP
04620004,Campo Belo,3550308,São Paulo,SP
04621010,Campo Belo,3550308,São Paulo,SP
04743011,Santo Amaro,3550308,São Paulo,SP
04612041,Campo Belo,3550308,São Paulo,SP
04709020,Santo Amaro,3550308,São Paulo,SP
04746000,Santo Amaro,3550308,São Paulo,SP
04358020,Campo Belo,3550308,São Paulo,SP
04662010,Santo Amaro,3550308,São Paulo,SP
04702010,Santo Amaro,3550308,São Paulo,SP
04738010,Santo Amaro,3550308,São Paulo,SP
04710090,Santo Amaro,3550308,São Paulo,SP
04743010,Santo Amaro,3550308,São Paulo,SP
04601028,Campo Belo,3550308,São Paulo,SP
04624030,Campo Belo,3550308,São Paulo,SP
04735003,Santo Amaro,3550308,São Paulo,SP
04624001,Campo Belo,3550308,São Paulo,SP
04610040,Campo Belo,3550308,São Paulo,SP
04733300,Santo Amaro,3550308,São Paulo,SP
04617039,Campo Belo,3550308,São Paulo,SP
04637090,Campo Belo,3550308,São Paulo,SP
04610030,Campo Belo,3550308,São Paulo,SP
04620020,Campo Belo,3550308,São Paulo,SP
04611000,Campo Belo,3550308,São Paulo,SP
04744000,Santo Amaro,3550308,São Paulo,SP
04606040,Campo Belo,3550308,São Paulo,SP
04746110,Santo Amaro,3550308,São Paulo,SP
04601002,Campo Belo,3550308,São Paulo,SP
04737001,Santo Amaro,3550308,São Paulo,SP
04739060,Santo Amaro,3550308,São Paulo,SP
04757000,Santo Amaro,3550308,São Paulo,SP
04739020,Santo Amaro,3550308,São Paulo,SP
04615000,Campo Belo,3550308,São Paulo,SP
04601003,Campo Belo,3550308,São Paulo,SP
04746090,Santo Amaro,3550308,São Paulo,SP
04753090,Santo Amaro,3550308,São Paulo,SP
04609003,Campo Belo,3550308,São Paulo,SP
04605040,Campo Belo,3550308,São Paulo,SP
04610004,Campo Belo,3550308,São Paulo,SP
04605030,Campo Belo,3550308,São Paulo,SP
04602004,Campo Belo,3550308,São Paulo,SP
04615030,Campo Belo,3550308,São Paulo,SP
04747001,Santo Amaro,3550308,São Paulo,SP
04611070,Campo Belo,3550308,São Paulo,SP
04614040,Campo Belo,3550308,São Paulo,SP
04601071,Campo Belo,3550308,São Paulo,SP
04747160,Santo Amaro,3550308,São Paulo,SP
04604005,Campo Belo,3550308,São Paulo,SP
04620003,Campo Belo,3550308,São Paulo,SP
04618040,Campo Belo,3550308,São Paulo,SP
04607020,Campo Belo,3550308,São Paulo,SP
04608011,Campo Belo,3550308,São Paulo,SP
04637000,Campo Belo,3550308,São Paulo,SP
